Well,562
A1,0.293
B1,0.466
C1,0.044
D1,0.049
E1,0.044
F1,0.044
G1,0.045
H1,0.045
A2,0.275
B2,0.418
C2,0.043
D2,0.044
E2,0.044
F2,0.044
G2,0.045
H2,0.045
A3,0.419
B3,0.044
C3,0.044
D3,0.044
E3,0.044
F3,0.044
G3,0.044
H3,0.047
A4,0.415
B4,0.044
C4,0.044
D4,0.044
E4,0.044
F4,0.044
G4,0.044
H4,0.044
A5,0.635
B5,0.044
C5,0.044
D5,0.044
E5,0.044
F5,0.044
G5,0.045
H5,0.044
A6,0.591
B6,0.044
C6,0.044
D6,0.044
E6,0.045
F6,0.044
G6,0.044
H6,0.045
A7,0.313
B7,0.044
C7,0.043
D7,0.044
E7,0.044
F7,0.044
G7,0.045
H7,0.045
A8,0.076
B8,0.044
C8,0.044
D8,0.044
E8,0.045
F8,0.044
G8,0.046
H8,0.044
A9,0.826
B9,0.043
C9,0.044
D9,0.044
E9,0.044
F9,0.045
G9,0.044
H9,0.045
A10,0.821
B10,0.044
C10,0.044
D10,0.044
E10,0.045
F10,0.045
G10,0.044
H10,0.047
A11,0.564
B11,0.044
C11,0.044
D11,0.044
E11,0.045
F11,0.044
G11,0.044
H11,0.044
A12,0.558
B12,0.043
C12,0.044
D12,0.044
E12,0.044
F12,0.044
G12,0.044
H12,0.044
