Well,Chl:630,Chl:663,Chl:750
A1,0.101,0.119,0.089
B1,0.035,0.035,0.034
C1,0.032,0.032,0.032
D1,0.038,0.039,0.038
E1,0.042,0.042,0.041
F1,0.055,0.054,0.053
G1,0.034,0.034,0.034
H1,0.041,0.041,0.04
A2,0.085,0.107,0.075
B2,0.038,0.038,0.037
C2,0.039,0.039,0.039
D2,0.033,0.033,0.032
E2,0.035,0.035,0.034
F2,0.041,0.041,0.04
G2,0.035,0.035,0.035
H2,0.037,0.037,0.036
A3,0.097,0.117,0.084
B3,0.033,0.032,0.032
C3,0.036,0.036,0.036
D3,0.037,0.037,0.036
E3,0.033,0.033,0.032
F3,0.045,0.045,0.044
G3,0.031,0.031,0.031
H3,0.039,0.039,0.039
A4,0.104,0.117,0.091
B4,0.032,0.032,0.031
C4,0.04,0.04,0.039
D4,0.043,0.042,0.042
E4,0.036,0.036,0.036
F4,0.042,0.042,0.042
G4,0.045,0.045,0.045
H4,0.029,0.029,0.029
A5,0.106,0.122,0.095
B5,0.033,0.033,0.032
C5,0.031,0.031,0.031
D5,0.032,0.033,0.032
E5,0.031,0.031,0.03
F5,0.034,0.034,0.033
G5,0.034,0.034,0.033
H5,0.031,0.031,0.031
A6,0.106,0.12,0.09
B6,0.034,0.034,0.033
C6,0.033,0.033,0.032
D6,0.037,0.038,0.038
E6,0.037,0.037,0.036
F6,0.038,0.038,0.037
G6,0.03,0.03,0.03
H6,0.034,0.034,0.033
A7,0.16,0.217,0.137
B7,0.033,0.033,0.033
C7,0.034,0.034,0.033
D7,0.034,0.034,0.033
E7,0.055,0.054,0.053
F7,0.052,0.052,0.051
G7,0.034,0.034,0.034
H7,0.032,0.032,0.032
A8,0.188,0.256,0.165
B8,0.03,0.03,0.03
C8,0.036,0.035,0.035
D8,0.037,0.037,0.036
E8,0.031,0.031,0.031
F8,0.035,0.035,0.034
G8,0.031,0.031,0.031
H8,0.036,0.036,0.035
A9,0.167,0.229,0.142
B9,0.03,0.03,0.03
C9,0.04,0.04,0.039
D9,0.039,0.039,0.038
E9,0.034,0.034,0.034
F9,0.035,0.035,0.034
G9,0.042,0.042,0.041
H9,0.036,0.036,0.036
A10,0.109,0.126,0.096
B10,0.03,0.03,0.03
C10,0.034,0.034,0.034
D10,0.03,0.03,0.029
E10,0.031,0.031,0.03
F10,0.04,0.04,0.039
G10,0.033,0.033,0.033
H10,0.04,0.04,0.04
A11,0.111,0.13,0.098
B11,0.032,0.031,0.031
C11,0.038,0.039,0.038
D11,0.047,0.047,0.047
E11,0.052,0.052,0.051
F11,0.034,0.034,0.033
G11,0.031,0.031,0.03
H11,0.039,0.039,0.039
A12,0.124,0.141,0.107
B12,0.035,0.035,0.034
C12,0.048,0.048,0.047
D12,0.037,0.037,0.037
E12,0.032,0.032,0.032
F12,0.034,0.034,0.034
G12,0.053,0.052,0.051
H12,0.061,0.061,0.06
