Well,Chl:630,Chl:663,Chl:750
A1,0.099,0.097,0.082
B1,0.048,0.048,0.047
C1,0.067,0.068,0.068
D1,0.037,0.037,0.037
E1,0.043,0.044,0.043
F1,0.058,0.058,0.057
G1,0.035,0.035,0.035
H1,0.034,0.034,0.033
A2,0.145,0.144,0.122
B2,0.036,0.036,0.035
C2,0.037,0.037,0.037
D2,0.047,0.047,0.047
E2,0.035,0.035,0.035
F2,0.04,0.04,0.039
G2,0.037,0.036,0.036
H2,0.038,0.038,0.038
A3,0.097,0.097,0.083
B3,0.046,0.045,0.045
C3,0.046,0.046,0.046
D3,0.043,0.043,0.042
E3,0.041,0.041,0.041
F3,0.047,0.046,0.046
G3,0.033,0.033,0.033
H3,0.039,0.039,0.039
A4,0.137,0.148,0.116
B4,0.033,0.033,0.033
C4,0.043,0.043,0.043
D4,0.065,0.065,0.064
E4,0.039,0.039,0.039
F4,0.042,0.042,0.042
G4,0.044,0.044,0.044
H4,0.035,0.036,0.035
A5,0.145,0.157,0.122
B5,0.047,0.048,0.047
C5,0.039,0.039,0.038
D5,0.081,0.079,0.079
E5,0.043,0.043,0.043
F5,0.047,0.046,0.046
G5,0.041,0.041,0.041
H5,0.034,0.034,0.033
A6,0.148,0.16,0.124
B6,0.038,0.039,0.039
C6,0.059,0.059,0.058
D6,0.054,0.054,0.053
E6,0.049,0.049,0.048
F6,0.039,0.039,0.038
G6,0.035,0.035,0.035
H6,0.031,0.031,0.031
A7,0.236,0.269,0.2
B7,0.035,0.035,0.035
C7,0.056,0.056,0.055
D7,0.047,0.045,0.044
E7,0.044,0.044,0.044
F7,0.051,0.05,0.05
G7,0.042,0.042,0.042
H7,0.032,0.033,0.032
A8,0.376,0.41,0.318
B8,0.036,0.036,0.036
C8,0.038,0.038,0.039
D8,0.034,0.034,0.034
E8,0.041,0.041,0.041
F8,0.052,0.051,0.051
G8,0.035,0.035,0.035
H8,0.036,0.036,0.036
A9,0.25,0.296,0.213
B9,0.031,0.031,0.031
C9,0.041,0.041,0.04
D9,0.061,0.061,0.06
E9,0.041,0.041,0.041
F9,0.038,0.038,0.038
G9,0.029,0.029,0.029
H9,0.039,0.039,0.039
A10,0.176,0.197,0.153
B10,0.031,0.031,0.03
C10,0.038,0.038,0.038
D10,0.03,0.03,0.03
E10,0.037,0.037,0.036
F10,0.041,0.041,0.04
G10,0.033,0.034,0.033
H10,0.044,0.044,0.044
A11,0.179,0.194,0.15
B11,0.04,0.04,0.04
C11,0.051,0.056,0.062
D11,0.041,0.041,0.041
E11,0.05,0.05,0.049
F11,0.048,0.048,0.048
G11,0.034,0.034,0.034
H11,0.034,0.034,0.034
A12,0.22,0.235,0.193
B12,0.035,0.035,0.034
C12,0.043,0.043,0.042
D12,0.048,0.049,0.048
E12,0.037,0.037,0.037
F12,0.037,0.037,0.037
G12,0.05,0.05,0.049
H12,0.049,0.048,0.048
