Well,Chl:630,Chl:663,Chl:750
A1,0.112,0.127,0.102
B1,0.035,0.035,0.034
C1,0.031,0.031,0.03
D1,0.041,0.041,0.041
E1,0.042,0.042,0.042
F1,0.055,0.055,0.054
G1,0.034,0.034,0.034
H1,0.037,0.037,0.037
A2,0.091,0.111,0.082
B2,0.037,0.037,0.037
C2,0.033,0.033,0.033
D2,0.033,0.033,0.033
E2,0.035,0.035,0.035
F2,0.041,0.041,0.041
G2,0.038,0.038,0.037
H2,0.036,0.036,0.036
A3,0.097,0.117,0.087
B3,0.034,0.033,0.033
C3,0.035,0.035,0.035
D3,0.039,0.039,0.039
E3,0.038,0.038,0.037
F3,0.044,0.044,0.044
G3,0.031,0.031,0.031
H3,0.039,0.039,0.038
A4,0.138,0.148,0.125
B4,0.032,0.032,0.032
C4,0.038,0.038,0.037
D4,0.042,0.042,0.042
E4,0.036,0.036,0.036
F4,0.042,0.042,0.042
G4,0.046,0.046,0.046
H4,0.029,0.029,0.029
A5,0.161,0.173,0.147
B5,0.032,0.032,0.032
C5,0.031,0.031,0.031
D5,0.033,0.033,0.033
E5,0.03,0.03,0.03
F5,0.034,0.034,0.034
G5,0.034,0.034,0.033
H5,0.031,0.031,0.031
A6,0.166,0.176,0.156
B6,0.036,0.035,0.035
C6,0.033,0.033,0.033
D6,0.044,0.045,0.044
E6,0.038,0.038,0.038
F6,0.038,0.038,0.037
G6,0.03,0.03,0.03
H6,0.034,0.034,0.034
A7,0.121,0.127,0.112
B7,0.033,0.033,0.033
C7,0.034,0.034,0.034
D7,0.035,0.035,0.035
E7,0.055,0.055,0.055
F7,0.051,0.051,0.051
G7,0.033,0.033,0.033
H7,0.032,0.032,0.032
A8,0.106,0.113,0.096
B8,0.03,0.03,0.03
C8,0.035,0.035,0.035
D8,0.033,0.032,0.032
E8,0.031,0.031,0.031
F8,0.035,0.035,0.035
G8,0.032,0.032,0.032
H8,0.036,0.036,0.036
A9,0.09,0.097,0.081
B9,0.029,0.029,0.029
C9,0.04,0.04,0.039
D9,0.04,0.039,0.039
E9,0.036,0.036,0.036
F9,0.035,0.035,0.035
G9,0.041,0.041,0.041
H9,0.036,0.036,0.036
A10,0.122,0.127,0.106
B10,0.03,0.03,0.03
C10,0.033,0.033,0.033
D10,0.033,0.033,0.033
E10,0.031,0.031,0.031
F10,0.039,0.039,0.039
G10,0.033,0.033,0.033
H10,0.039,0.039,0.039
A11,0.092,0.101,0.083
B11,0.032,0.031,0.032
C11,0.043,0.042,0.041
D11,0.037,0.037,0.037
E11,0.053,0.052,0.052
F11,0.033,0.033,0.033
G11,0.03,0.03,0.03
H11,0.039,0.038,0.039
A12,0.086,0.095,0.076
B12,0.036,0.036,0.036
C12,0.037,0.037,0.037
D12,0.037,0.037,0.037
E12,0.032,0.032,0.032
F12,0.034,0.034,0.034
G12,0.054,0.053,0.052
H12,0.061,0.061,0.06
