Date,Time,Treatment,Tank,Temp.C,pH.mV,Sal.psu,Light.PAR,Fed (Y/N)
20190306,10:34,NA,4,8.16,NA,26.58,708,NA
20190306,10:34,NA,5,7.08,NA,27.02,865,NA
20190306,10:34,NA,6,5.59,NA,26.73,693,NA
20190308,8:30,NA,4,5.58,NA,25.93,680,NA
20190308,8:30,NA,5,5.11,NA,26.81,619,NA
20190315,10:30,NA,4,13.8,NA,27.18,145,NA
20190315,10:30,NA,5,14.05,NA,27.1,176,NA
20190315,10:30,NA,6,4.74,NA,26.27,168,NA
20190318,14:30,NA,4,19.35,54.8,27.16,928,NA
20190318,14:30,NA,5,19.45,56.2,27.35,1025,NA
20190318,14:30,NA,6,36.4,66.3,28.71,805,NA
20190319,15:30,NA,4,18.71,71.9,27.5,122,NA
20190319,15:30,NA,5,19.41,54.7,27.63,119,NA
20190319,15:30,NA,6,19.28,67.7,27.87,117,NA
