Well,Chl:630,Chl:663,Chl:750
A1,0.131,0.149,0.114
B1,0.039,0.039,0.038
C1,0.038,0.038,0.037
D1,0.036,0.035,0.035
E1,0.046,0.045,0.045
F1,0.048,0.048,0.047
G1,0.034,0.034,0.034
H1,0.034,0.034,0.033
A2,0.166,0.186,0.145
B2,0.037,0.039,0.038
C2,0.036,0.037,0.038
D2,0.034,0.034,0.034
E2,0.034,0.034,0.034
F2,0.039,0.039,0.038
G2,0.04,0.041,0.04
H2,0.037,0.037,0.037
A3,0.115,0.136,0.098
B3,0.039,0.039,0.038
C3,0.036,0.037,0.037
D3,0.04,0.04,0.04
E3,0.031,0.031,0.031
F3,0.046,0.046,0.045
G3,0.032,0.032,0.032
H3,0.039,0.039,0.038
A4,0.081,0.08,0.072
B4,0.033,0.033,0.032
C4,0.037,0.037,0.037
D4,0.057,0.057,0.056
E4,0.038,0.038,0.037
F4,0.044,0.043,0.043
G4,0.044,0.045,0.044
H4,0.034,0.034,0.034
A5,0.084,0.081,0.077
B5,0.045,0.045,0.045
C5,0.038,0.039,0.038
D5,0.054,0.054,0.053
E5,0.05,0.049,0.048
F5,0.046,0.047,0.046
G5,0.036,0.037,0.036
H5,0.035,0.035,0.035
A6,0.1,0.098,0.094
B6,0.036,0.036,0.035
C6,0.054,0.054,0.053
D6,0.04,0.041,0.04
E6,0.056,0.056,0.055
F6,0.041,0.041,0.04
G6,0.036,0.036,0.036
H6,0.032,0.032,0.032
A7,0.061,0.061,0.055
B7,0.035,0.036,0.035
C7,0.052,0.052,0.051
D7,0.055,0.053,0.051
E7,0.047,0.047,0.046
F7,0.052,0.052,0.051
G7,0.044,0.044,0.043
H7,0.035,0.035,0.035
A8,0.064,0.066,0.058
B8,0.036,0.035,0.035
C8,0.047,0.047,0.047
D8,0.033,0.033,0.033
E8,0.044,0.044,0.043
F8,0.054,0.054,0.054
G8,0.035,0.035,0.035
H8,0.037,0.036,0.036
A9,0.059,0.061,0.053
B9,0.029,0.029,0.029
C9,0.041,0.041,0.041
D9,0.064,0.063,0.062
E9,0.031,0.032,0.031
F9,0.04,0.041,0.04
G9,0.03,0.03,0.029
H9,0.039,0.039,0.039
A10,0.077,0.086,0.07
B10,0.035,0.035,0.035
C10,0.036,0.035,0.035
D10,0.035,0.035,0.035
E10,0.037,0.037,0.037
F10,0.041,0.041,0.04
G10,0.039,0.039,0.039
H10,0.044,0.044,0.044
A11,0.086,0.095,0.075
B11,0.038,0.039,0.04
C11,0.042,0.042,0.041
D11,0.059,0.058,0.057
E11,0.044,0.044,0.044
F11,0.049,0.049,0.049
G11,0.043,0.043,0.043
H11,0.035,0.035,0.035
A12,0.089,0.096,0.076
B12,0.039,0.039,0.038
C12,0.041,0.042,0.042
D12,0.06,0.06,0.059
E12,0.038,0.038,0.038
F12,0.036,0.037,0.036
G12,0.053,0.053,0.052
H12,0.048,0.048,0.047
