Well,Chl:630,Chl:663,Chl:750
A1,0.066,0.077,0.056
B1,0.063,0.062,0.061
C1,0.036,0.036,0.035
D1,0.05,0.048,0.045
E1,0.045,0.045,0.044
F1,0.042,0.042,0.042
G1,0.035,0.035,0.035
H1,0.034,0.033,0.034
A2,0.067,0.08,0.058
B2,0.044,0.044,0.044
C2,0.037,0.036,0.036
D2,0.044,0.044,0.044
E2,0.035,0.035,0.035
F2,0.039,0.039,0.04
G2,0.036,0.036,0.036
H2,0.037,0.036,0.036
A3,0.064,0.078,0.056
B3,0.047,0.047,0.046
C3,0.037,0.037,0.037
D3,0.056,0.056,0.055
E3,0.033,0.033,0.032
F3,0.046,0.046,0.045
G3,0.032,0.032,0.032
H3,0.039,0.039,0.039
A4,0.062,0.066,0.057
B4,0.039,0.039,0.038
C4,0.038,0.038,0.038
D4,0.122,0.12,0.117
E4,0.036,0.036,0.036
F4,0.042,0.042,0.042
G4,0.045,0.044,0.045
H4,0.034,0.034,0.034
A5,0.068,0.071,0.061
B5,0.048,0.048,0.048
C5,0.044,0.044,0.044
D5,0.083,0.083,0.082
E5,0.043,0.043,0.043
F5,0.046,0.047,0.046
G5,0.036,0.036,0.036
H5,0.033,0.033,0.033
A6,0.064,0.068,0.059
B6,0.042,0.042,0.041
C6,0.055,0.055,0.054
D6,0.052,0.05,0.049
E6,0.056,0.056,0.056
F6,0.043,0.043,0.042
G6,0.035,0.035,0.035
H6,0.036,0.035,0.035
A7,0.084,0.088,0.075
B7,0.038,0.037,0.037
C7,0.055,0.054,0.054
D7,0.041,0.041,0.041
E7,0.045,0.045,0.045
F7,0.054,0.053,0.053
G7,0.044,0.044,0.043
H7,0.034,0.034,0.035
A8,0.063,0.066,0.054
B8,0.042,0.041,0.041
C8,0.037,0.037,0.037
D8,0.046,0.046,0.046
E8,0.045,0.045,0.045
F8,0.06,0.057,0.053
G8,0.035,0.035,0.035
H8,0.036,0.036,0.037
A9,0.06,0.066,0.054
B9,0.033,0.033,0.033
C9,0.041,0.041,0.041
D9,0.062,0.061,0.061
E9,0.041,0.041,0.041
F9,0.041,0.041,0.041
G9,0.029,0.03,0.03
H9,0.039,0.039,0.039
A10,0.106,0.113,0.097
B10,0.033,0.033,0.033
C10,0.038,0.039,0.04
D10,0.034,0.034,0.035
E10,0.037,0.037,0.037
F10,0.04,0.04,0.04
G10,0.04,0.04,0.04
H10,0.043,0.043,0.043
A11,0.081,0.086,0.071
B11,0.039,0.039,0.039
C11,0.052,0.051,0.05
D11,0.041,0.041,0.041
E11,0.051,0.051,0.05
F11,0.048,0.048,0.048
G11,0.034,0.034,0.034
H11,0.035,0.035,0.035
A12,0.1,0.104,0.089
B12,0.044,0.044,0.043
C12,0.043,0.043,0.043
D12,0.05,0.05,0.05
E12,0.039,0.039,0.038
F12,0.037,0.037,0.037
G12,0.051,0.05,0.05
H12,0.048,0.048,0.047
