Well,Chl:630,Chl:663,Chl:750
A1,0.087,0.095,0.079
B1,0.055,0.054,0.053
C1,0.032,0.032,0.031
D1,0.043,0.043,0.042
E1,0.042,0.042,0.041
F1,0.055,0.055,0.054
G1,0.034,0.034,0.034
H1,0.037,0.037,0.037
A2,0.086,0.095,0.076
B2,0.036,0.036,0.036
C2,0.044,0.044,0.044
D2,0.033,0.033,0.033
E2,0.035,0.035,0.034
F2,0.041,0.041,0.041
G2,0.035,0.035,0.034
H2,0.038,0.037,0.037
A3,0.097,0.105,0.086
B3,0.04,0.04,0.04
C3,0.035,0.035,0.035
D3,0.037,0.037,0.037
E3,0.032,0.032,0.031
F3,0.045,0.044,0.044
G3,0.031,0.031,0.031
H3,0.039,0.039,0.039
A4,0.082,0.083,0.074
B4,0.032,0.032,0.031
C4,0.04,0.04,0.04
D4,0.045,0.044,0.044
E4,0.037,0.037,0.037
F4,0.043,0.042,0.042
G4,0.045,0.045,0.045
H4,0.03,0.029,0.029
A5,0.088,0.089,0.08
B5,0.03,0.03,0.029
C5,0.031,0.031,0.031
D5,0.033,0.032,0.032
E5,0.031,0.03,0.03
F5,0.034,0.034,0.034
G5,0.034,0.034,0.033
H5,0.031,0.031,0.031
A6,0.08,0.081,0.072
B6,0.034,0.033,0.033
C6,0.035,0.034,0.034
D6,0.038,0.038,0.037
E6,0.037,0.037,0.036
F6,0.035,0.035,0.034
G6,0.03,0.03,0.03
H6,0.03,0.031,0.031
A7,0.101,0.112,0.091
B7,0.033,0.033,0.033
C7,0.036,0.036,0.036
D7,0.034,0.033,0.033
E7,0.056,0.055,0.054
F7,0.053,0.052,0.052
G7,0.034,0.034,0.034
H7,0.031,0.031,0.031
A8,0.083,0.097,0.074
B8,0.034,0.033,0.032
C8,0.034,0.035,0.035
D8,0.037,0.037,0.036
E8,0.031,0.031,0.031
F8,0.035,0.035,0.035
G8,0.031,0.031,0.031
H8,0.036,0.036,0.035
A9,0.083,0.096,0.074
B9,0.029,0.03,0.029
C9,0.04,0.04,0.039
D9,0.039,0.039,0.038
E9,0.032,0.032,0.031
F9,0.035,0.035,0.035
G9,0.04,0.04,0.039
H9,0.036,0.036,0.036
A10,0.089,0.098,0.082
B10,0.03,0.03,0.03
C10,0.033,0.033,0.032
D10,0.03,0.03,0.029
E10,0.031,0.031,0.031
F10,0.04,0.04,0.039
G10,0.033,0.033,0.033
H10,0.04,0.039,0.038
A11,0.079,0.089,0.072
B11,0.031,0.03,0.03
C11,0.04,0.04,0.039
D11,0.049,0.048,0.048
E11,0.052,0.052,0.051
F11,0.034,0.034,0.033
G11,0.03,0.03,0.03
H11,0.039,0.039,0.039
A12,0.087,0.096,0.078
B12,0.035,0.035,0.034
C12,0.045,0.045,0.045
D12,0.041,0.041,0.041
E12,0.031,0.031,0.031
F12,0.034,0.034,0.034
G12,0.056,0.056,0.054
H12,0.061,0.06,0.059
