Well,Chl:630,Chl:663,Chl:750
A1,0.278,0.28,0.244
B1,0.07,0.07,0.068
C1,0.045,0.045,0.045
D1,0.037,0.037,0.037
E1,0.041,0.041,0.04
F1,0.058,0.058,0.057
G1,0.035,0.035,0.035
H1,0.033,0.033,0.033
A2,0.299,0.294,0.254
B2,0.044,0.044,0.043
C2,0.043,0.043,0.042
D2,0.04,0.04,0.04
E2,0.035,0.035,0.034
F2,0.038,0.038,0.038
G2,0.036,0.036,0.036
H2,0.036,0.036,0.036
A3,0.231,0.233,0.199
B3,0.058,0.057,0.057
C3,0.053,0.053,0.052
D3,0.042,0.042,0.042
E3,0.042,0.042,0.041
F3,0.046,0.046,0.046
G3,0.032,0.032,0.032
H3,0.038,0.038,0.037
A4,0.282,0.285,0.243
B4,0.036,0.036,0.036
C4,0.039,0.039,0.039
D4,0.063,0.063,0.062
E4,0.039,0.039,0.039
F4,0.043,0.043,0.042
G4,0.045,0.045,0.045
H4,0.036,0.036,0.035
A5,0.242,0.248,0.207
B5,0.058,0.058,0.057
C5,0.049,0.049,0.049
D5,0.077,0.077,0.076
E5,0.044,0.044,0.043
F5,0.047,0.047,0.047
G5,0.037,0.037,0.037
H5,0.032,0.032,0.032
A6,0.236,0.243,0.2
B6,0.038,0.038,0.038
C6,0.085,0.084,0.084
D6,0.042,0.042,0.041
E6,0.051,0.051,0.05
F6,0.042,0.041,0.041
G6,0.035,0.035,0.035
H6,0.031,0.031,0.03
A7,0.27,0.266,0.226
B7,0.034,0.035,0.034
C7,0.055,0.055,0.055
D7,0.038,0.038,0.038
E7,0.046,0.046,0.045
F7,0.053,0.053,0.052
G7,0.044,0.044,0.044
H7,0.032,0.032,0.032
A8,0.29,0.291,0.244
B8,0.037,0.037,0.036
C8,0.039,0.039,0.039
D8,0.036,0.036,0.036
E8,0.043,0.043,0.042
F8,0.053,0.052,0.052
G8,0.034,0.035,0.034
H8,0.035,0.035,0.035
A9,0.341,0.33,0.284
B9,0.031,0.031,0.03
C9,0.04,0.04,0.04
D9,0.061,0.061,0.06
E9,0.042,0.041,0.041
F9,0.038,0.038,0.037
G9,0.029,0.03,0.029
H9,0.039,0.039,0.039
A10,0.325,0.325,0.277
B10,0.03,0.03,0.03
C10,0.037,0.037,0.037
D10,0.034,0.034,0.034
E10,0.037,0.037,0.036
F10,0.039,0.039,0.038
G10,0.033,0.033,0.032
H10,0.036,0.036,0.035
A11,0.296,0.297,0.25
B11,0.036,0.036,0.036
C11,0.049,0.049,0.048
D11,0.038,0.038,0.038
E11,0.05,0.05,0.049
F11,0.047,0.047,0.047
G11,0.034,0.034,0.034
H11,0.034,0.034,0.034
A12,0.302,0.306,0.265
B12,0.039,0.04,0.039
C12,0.043,0.043,0.043
D12,0.049,0.049,0.048
E12,0.037,0.037,0.037
F12,0.035,0.035,0.035
G12,0.051,0.051,0.05
H12,0.048,0.048,0.047
