Well,Chl:630,Chl:663,Chl:750
A1,0.088,0.087,0.078
B1,0.04,0.04,0.039
C1,0.031,0.031,0.03
D1,0.035,0.035,0.035
E1,0.039,0.04,0.039
F1,0.044,0.044,0.043
G1,0.032,0.034,0.039
H1,0.034,0.034,0.034
A2,0.085,0.085,0.075
B2,0.034,0.035,0.034
C2,0.034,0.034,0.034
D2,0.03,0.031,0.03
E2,0.03,0.03,0.03
F2,0.031,0.032,0.031
G2,0.032,0.032,0.032
H2,0.034,0.034,0.033
A3,0.092,0.092,0.083
B3,0.03,0.03,0.029
C3,0.037,0.037,0.036
D3,0.038,0.037,0.037
E3,0.029,0.029,0.029
F3,0.039,0.04,0.039
G3,0.028,0.028,0.028
H3,0.038,0.039,0.038
A4,0.111,0.121,0.099
B4,0.041,0.041,0.04
C4,0.037,0.038,0.038
D4,0.043,0.043,0.043
E4,0.034,0.034,0.034
F4,0.048,0.048,0.048
G4,0.043,0.044,0.045
H4,0.029,0.029,0.029
A5,0.113,0.124,0.1
B5,0.031,0.031,0.031
C5,0.031,0.031,0.03
D5,0.034,0.034,0.034
E5,0.031,0.031,0.03
F5,0.034,0.034,0.034
G5,0.034,0.034,0.034
H5,0.03,0.03,0.03
A6,0.105,0.116,0.09
B6,0.034,0.034,0.034
C6,0.035,0.035,0.035
D6,0.035,0.035,0.035
E6,0.039,0.037,0.037
F6,0.032,0.033,0.032
G6,0.03,0.03,0.03
H6,0.029,0.029,0.029
A7,0.085,0.1,0.076
B7,0.034,0.034,0.034
C7,0.036,0.037,0.037
D7,0.032,0.033,0.032
E7,0.057,0.057,0.056
F7,0.041,0.041,0.041
G7,0.033,0.033,0.033
H7,0.031,0.031,0.031
A8,0.09,0.107,0.079
B8,0.03,0.03,0.03
C8,0.036,0.036,0.035
D8,0.033,0.034,0.034
E8,0.033,0.033,0.032
F8,0.035,0.035,0.035
G8,0.032,0.032,0.032
H8,0.038,0.037,0.037
A9,0.093,0.109,0.083
B9,0.028,0.028,0.028
C9,0.041,0.041,0.04
D9,0.034,0.034,0.034
E9,0.03,0.03,0.029
F9,0.035,0.035,0.035
G9,0.03,0.03,0.029
H9,0.037,0.037,0.037
A10,0.106,0.117,0.1
B10,0.031,0.031,0.031
C10,0.033,0.033,0.033
D10,0.031,0.031,0.03
E10,0.031,0.031,0.03
F10,0.035,0.034,0.034
G10,0.033,0.033,0.033
H10,0.045,0.045,0.044
A11,0.111,0.119,0.102
B11,0.031,0.032,0.031
C11,0.044,0.05,0.048
D11,0.039,0.04,0.04
E11,0.041,0.042,0.042
F11,0.033,0.033,0.033
G11,0.03,0.03,0.03
H11,0.041,0.041,0.04
A12,0.193,0.194,0.165
B12,0.037,0.036,0.036
C12,0.039,0.039,0.039
D12,0.038,0.038,0.037
E12,0.029,0.029,0.029
F12,0.031,0.031,0.031
G12,0.059,0.058,0.057
H12,0.055,0.055,0.054
