"Plot Title: tank 7"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20444039, SEN S/N: 20444039)","Coupler Detached (LGR S/N: 20444039)","Coupler Attached (LGR S/N: 20444039)","Host Connected (LGR S/N: 20444039)","Stopped (LGR S/N: 20444039)","End Of File (LGR S/N: 20444039)"
1,02/22/19 12:00:00 PM,13.834,Logged,,,,
2,02/22/19 12:15:00 PM,14.673,,,,,
3,02/22/19 12:30:00 PM,15.175,,,,,
4,02/22/19 12:45:00 PM,15.867,,,,,
5,02/22/19 01:00:00 PM,16.868,,,,,
6,02/22/19 01:15:00 PM,17.296,,,,,
7,02/22/19 01:30:00 PM,17.843,,,,,
8,02/22/19 01:45:00 PM,18.771,,,,,
9,02/22/19 02:00:00 PM,19.436,,,,,
10,02/22/19 02:15:00 PM,20.126,,,,,
11,02/22/19 02:30:00 PM,20.531,,,,,
12,02/22/19 02:45:00 PM,21.151,,,,,
13,02/22/19 03:00:00 PM,21.557,,,,,
14,02/22/19 03:15:00 PM,22.106,,,,,
15,02/22/19 03:30:00 PM,22.441,,,,,
16,02/22/19 03:45:00 PM,22.729,,,,,
17,02/22/19 04:00:00 PM,22.824,,,,,
18,02/22/19 04:15:00 PM,22.848,,,,,
19,02/22/19 04:30:00 PM,22.848,,,,,
20,02/22/19 04:45:00 PM,22.824,,,,,
21,02/22/19 05:00:00 PM,22.705,,,,,
22,02/22/19 05:15:00 PM,22.537,,,,,
23,02/22/19 05:30:00 PM,22.489,,,,,
24,02/22/19 05:45:00 PM,22.417,,,,,
25,02/22/19 06:00:00 PM,22.369,,,,,
26,02/22/19 06:15:00 PM,22.321,,,,,
27,02/22/19 06:30:00 PM,22.274,,,,,
28,02/22/19 06:45:00 PM,22.226,,,,,
29,02/22/19 07:00:00 PM,22.178,,,,,
30,02/22/19 07:15:00 PM,22.130,,,,,
31,02/22/19 07:30:00 PM,22.082,,,,,
32,02/22/19 07:45:00 PM,22.058,,,,,
33,02/22/19 08:00:00 PM,22.011,,,,,
34,02/22/19 08:15:00 PM,21.987,,,,,
35,02/22/19 08:30:00 PM,21.963,,,,,
36,02/22/19 08:45:00 PM,21.915,,,,,
